parsed_kigo,parsed_haiku
狐,隠 沼 に 雨 網膜 に まだ 狐
祭,丹後 一之宮 雨 に 祭 の 準備 する
夏 の 星,サーカス は 蠍 座 の 尾 を 浸す か な
神楽,精 の つく 話 長 々 神楽 宿
麦 の 秋,北 病棟 に 死な ず あり けり 麦 の 秋
夏 の 雨,夏 の 雨 巨木 も 我 も はる けし や
冬 の 空,凍 空 に 太陽 三 個 死 は 一 個
梟,さ か なぜ の 顔 さ おれ だ つ 縞 梟
夏,手鏡 の 背中 恐ろし 夏 の 恋
蛇,蛇 打た れ 笑い 崩 るる 如く 死す
水中花,ゆっくり と 涙 が 耳 へ 水中花
雹,教会 の 奥 ほど 氷雨 激 しかり
花火,花火 より 火 の 棘 降り て くる 他国
クリスマス,キャンドル に なり たき 黒人 少女 の イヴ
十月,十月 の 雨 の 匂い が し て 受胎
月,寝返り し 子 は 月光 に 近づき ぬ
マーガレット,マーガレット それ より 白き 産着 干す
鰯雲,遠景 は いつも 幼年 いわし雲
手袋,手袋 の 五指 恍惚 と 広げ おく
桜,物 蔭 に 砂山 の 如桜 あり
夕立,国 中 の 時計 の 音 が し て 夕立
春,宗教 の 欄 空白 の まま に 春
蝶,蝶結び ほどけ ば 幾 千 万 の 蝶
新緑,新緑 や 愛さ れ たく て 手 を 洗う
裸,全裸 なり 波 ひたひた と 寄る 術後
渡り鳥,鳥 渡る 地 に 残さ れ し 哺乳 瓶
蝶,地下鉄 の キップ は 蝶 の よう な もの
母 の 日,道 光り おり 母 の 日 の ニューヨーク
成人 の 日,新 成人 川 なき 橋 を 渡り けり
盆 の 月,どれ ほど の 雲 の 冷た さ 盆 の 月
遍路,遍路 笠 一 人 は ピエロ かも 知れ ず
毛糸 編む,手繰る たび 夜空 を 伝う 毛糸 玉
鉄線 花,あの 朝 が 死ぬ 朝 だっ た 鉄線 花
秋,火口湖 の 深 さ を 秋 の 天 という
天の川,象 使い 銀河 に 集い 来 て 眠る
星月夜,チェロ 弾き のめ くる 譜面 の 星月夜
秋,たま しい を 攫い に 来 たる 秋 祭
寒 鯉,寒 鯉 の 谺 の ごとく 底 より 来
雛祭,欠け て ゆく 月 の 音 し て 雛 道具
巣 立鳥,巣 立鳥 ひかり の 声 に 呼ば れ たる
初場所,初場所 や ちゃんこ 番 に も 力瘤
白魚,釜 揚がる 白魚 一 寸 の 白 さ か な
実 朝 忌,江ノ島 に 白魚 揚がる 実 朝 忌
春,役者 絵 の 鼻高々 と 江戸 の 春
春 浅し,春 浅し 埴輪 に 小さき 乳房 あり
啓蟄,啓蟄 や 金平糖 に 角 が 出 た
桜,さくら さ くやしき あやしき さくら さく
花,満開 の 花 の 下 にて 落ち 付か ず
長閑,のどけし や 象 の 背 を 掃く 竹 箒
陽炎,糸 遊 が でこぼこ 道 を 渡っ て いっ た
五月,聖 五月 笑い転げる セーラー服
泉,湧き水 の 砂 吐く ところ 夏 生る
短夜,明 易し コンビニ の 灯 の 徒労 感
浴衣,ゆかた 着 て 漢 重心 下げ に けり
泰山木 の 花,泰山木 咲い て 仏 の 国 の 人
金 亀子,かなぶん は 死ん だ 振り する 放っ て 置く
栗 の 花,旅役者 や ど に 荷 を 解く 栗 の 花
運動会,運動会 くるり と 剥ける ゆで た ま ご
秋 高し,宿帳 に 無職 と 書い て 天 高し
月,ぽっかり と 月 吐き出し て 森 眠る
女郎花,海 に 向く 流人 の 墓 の 女郎花
烏瓜,烏瓜 手繰れ ば 奥 の 闇 まで も
菊 膾,君が代 を 拒ん で 一 人 菊 膾
寒卵,一 合 の 飯 炊く 暮らし 寒卵
冬,園丁 が 冬 の 入日 を 掃い て いる
熱燗,とんとん と 階段 上る 温め 酒
社会 鍋,社会 鍋 真ん中 に ある 寒 さ か な
年 の 暮,暮れ の 街 逃げ て 水族館 の 魚 に なる
冬,横目 にて 我が こころ 読む 冬 の 鳩
新緑,新緑 も ビル も 流れ て 子 を 産み に
夜長,侵さ れ て いる 山間 の 夜 長し
鳥 雲 に 入る,近影 の 即ち 遺影 鳥 雲 に
枯蔓,蔦 枯れ て 十字架 の 十 現れる
夏休み,人間 を 見 て いる 駱駝 夏休み
梅雨,パリ モスクワ ニューヨーク 晴 梅雨 の 入
鳥 の 巣,鳥 の 巣 日進月歩 し て いる か
狗尾草,本日 の 死者 と 負傷 者 ねこ じゃ らし
虎 落笛,虎 落笛 胎児 は 耳 の 形 し て
根深 汁,体内 の 数値 の 乱れ 根深 汁
田螺,長い 目 で 見れ ば 田螺 が 転ん だ だけ
秋 高し,飛行機 の 中 の 空気 や 天 高し
走馬灯,走馬灯 真上 から 見る 無神 論
清水,清水 あり 月曜日 を 置き て 立ち去る
虫,虫 しぐれ 読み たい もの を 書い て いる
行く 春,ゆく 春 の 身 は 昭和 拾遺 集 なり
枯木,敬礼 の 指 から 青 枯れ て い たり
皐月,背 に 穴 が あい て 五月 の 風 自在
麦 踏,麦踏み の 途中 何 度 も 飛べ そう な
鶸,堪え性 の ない 子 に 鳴い て やる 真 鶸
干柿,命 か な 干柿 越し に 夕日 浴び
葛,夕暮れ は 風 の 民 来る 真葛 原
焚火,精霊 と もっと 話せよ 夕 焚火
梅雨,転生 の 途中 に 梅雨 の 長 廊下
鳰,鳰 浮き出る 度 に あたらしき
朧,我が 影 の 朧 の 部分 見 て おり ぬ
冬 の 月,寒月 に うしろ姿 を 見 て もらう
六月,六月 の 背広 に 古き ティッシュ か な
海 霧,地 の 果て の 暗く 蟹 煮る 海 霧 の 町
春 の 泥,春 の 泥 華燭 の 門 を くぐり けり
霧氷,疾く 疾く と 血管 の ぼる 霧氷 林
枯野,枯 湿原 おご ころ しばし 吹か れ おり
吹雪,吹雪く 知床 裏山 に 鷲 生る 木
凍る,太陽 凍て どれ も 幻 鳥 図鑑
流氷,流氷 明け ひと は 洋 燈 の 暗 さ 持つ
春光,春光 の 手のひら いっぱい 自由 市場
毛虫,自由 か な 毛虫 輪 に なり 棒 に なり
白鳥,青年 白鳥 を 抱き 夜明け の 葬
白鳥,白鳥 や 幻 日 いま も 蝦夷 照らす
鮭,涙ぐみ カラフトマス と 遡 上 の 月
名月,満月 の 死角 を 泳ぐ 牡鹿 なり
綿 虫,冬 が 来る 無数 の 雪 虫 さながら 戦
梟,昼 の 星 樹 恩 樹 恩 と 鳴く 梟
梟,傘 は 杖 肩 に 梟 の 気配
凍る,太陽 四 角 凍える 沖 と 分厚い 雲
流氷,物忘れ の 二 階 は 荒野 流氷 初日
鮭,鼻 曲がり の 醜 の 鮭 面 持ち歩く
蟬,樹 は 気 なり 死に 物狂い で 哭く 蟬 よ
熊,熊 は 爪 研ぎ 楢 は 樹齢 を 重ね たり
懐炉,使い捨て カイロ 山積み 日本 男児
鮭,鮭 面 を 差し出し 別寒辺牛川 本流
人参,ひきこもり の 子 たち が 丘 に 越冬 にんじん
鶴,純粋 に 鶴 見る 哀しい ほど 日本
熊,矢 は 熊 へ 蝦夷 国風 図絵 屏風
雪,また 雪 が 降る ひとごと の よう に 降る
雪,友 は 手 で 首 切る しぐさ 雪 しずか
皸,燃えろ かんてき 妻 と は こんなに 荒れ た 指 か
連翹,れん ぎょ う 雪 や なぎ あんた ん として 髪 だ
北風,北風 列車 その 乗客 の 烏 と ぼく
鷽,おも すろ く ねえ 日 ン だ や だら ホーホケキョ
夏,やっぱり 男 だ 夏 の お日様 ま ども に 放尿
マント,そこ に ある 祖父 の マント の 侵略 史
春,春めく や 蛇口 の 錆 の 血 の 味 よ
梅,ブルー シート 主 は 不在 梅 早し
如月,如月 や 分家 の 格 を 教え られ
春月,生誕 の 血煙 向こう から 春 の 月
涼し,肋骨 を 削る 裏庭 風 涼し
トマト,洗 ひ 髪 トマト を かじる 女中 部屋
新米,新米 を 供え ながら も 恨み言
風鈴,風鈴 を ひとつ 鳴らし て 父 帰る
蒲団,空き缶 を つぶす 音 聞く 羽根 布団
案山子,いつ まで も 見送っ て いる 案山子 か な
田植,田植え すみ 大 海原 の あらわ るる
辣韮,辣韮 を 三 つぶ 小皿 に おい て みる
稲,稲 という 草 の 実 食っ て アジア か な
青嵐,忘れもの 戻れ ば 墓地 に 青嵐
浮塵子,浮塵子 なら 日没 まで の 舞踏 会
梅,六 十 で すべて を 捨 つる 梅 一 輪
初夢,初夢 を 篩 にかけて 残る もの
夏 の 蝶,玉音 の そら へそ ら へ と 夏 の 蝶
春潮,繋船 の 順 に 乗り越え 春 の 潮
守宮,目 を 閉じ て 水 の あり か を 聴く 守宮
霧,身 の 始末 念頭 に し て 霧 を 吹く
豌豆,さや 豌豆 つる 延命 の 管 青し
風鈴,退去 する 軒 に 風鈴 吊るし 置く
雑煮,名刺 入れ 丸ごと 焼い て 雑煮 食う
薔薇,ばら 剪 って すでに 短命 に は あら ず
春,陰干し の 大きな 靴 だ よ もうすぐ 春
蟬,生きる さみし さ は 蟬 の 尿 しぶく 見え
野菊,野菊 に しゃがみ 嫁 の 話 仔牛 の 話
青葉,旅 も 終わり の 青葉 が もえる 天子 の 森
鵙,鵙 の 贄 紅絹 一反 を そのまま に
栗 の 花,栗 咲い て 仔馬 の 首 へ すたすた 仏
刈田,どこ より も やさしい 刈田 あり 鬼 の
湯 ざめ,湯冷め か な 折鶴 の 滞空 か な
蜂,飾磨 郡 花田 村 大きな 蜂の巣 で あり
月,金糸 魚 の 鱗 と わたし 月 に 舞う
山茶花,避難 所 に 避難 者 の 息 さ ざんか 散る
山茶花,さ ざんかの 白 敷き 避難 所 の 夜 はじまる
紅梅,紅梅 の 高 さ に 喪服 の 衿 重ね
蕪,かぶら 蒸し とつとつ 神戸 灯る か な
独楽,灯り 増 え 独楽 は ななめ に 走る なり
菜の花,そして 一 年 菜の花 は 特に うす 味
春 の 宵,春宵 の 束子 乾 けり 助走 せ ね ば
阪神 淡路 大震災,十 七 日 授乳 の よう な 木漏れ日 と
辣韮,辣韮 掘り 夜 の 心音 あかるい よ
雨蛙,気泡 かわるがわる に 姉 と 雨蛙
新涼,竹 で 挟む 骨 か 魚 影 か 新涼
水木 の 花,大 笊 小 笊 日向 水木 の きらっ と す
滴り,山 滴る いっぱい 蒐 め た 鳥 の 切手
芋虫,和菓子 屋 と とても ふくよか な 芋虫
桜 鯎,ゆみこ 病む さ くらう ぐい の 息づかい
金 雀 枝,金 雀 枝 の 大きな うねり よく 噛も う
雁,ぜいたく な かり が ね の 道 月 の 巣 へ
竜胆,竜胆 や ガラス くもる は 急ぐ 用
麦 踏,麦 ふむ ごと 神戸 を ふん だ 　 十 年
冬,素読 とも 劣等 感 とも 冬 の たんぽぽ
春寒,料 峭 の 石 に 雨 ふる 素読 という
麦 の 秋,高速 道 に 先頭 が ある 麦 の 秋
霧,蝦夷 鹿 は 託 り もの 霧 の 巻く
焼野,国人 の 魂 やわらかし 焼野 ゆく
貝 割 菜,羽ばたき は 朝 の とりきめ 貝 割 菜
山 茱萸 の 花,追 炊き の よう 山 茱萸 が 咲く 日 ぐれ
花,花 満つ を 暗 と 呼ぶ 峠 か な
老 鶯,夏 鶯 人間 は 麩 の よう 塵 の よう
若葉,サークル 費 を 集め 突 切る 若葉 の 雨
焼 藷,夜 へ 声 ひき 焼 藷 や 過 ぐ 銀座 裏
寒し,うごけ ば 、 寒い
沈丁花,沈丁花 誰 か わたし を 呼ん だ かしら
柿 若葉,柿 若葉 まぶしい もの が まだ あっ た
春 の 野,妻 の 手 へ キャベツ を 抛る 春 の 野良
花見,花 筏 鴨 の 胸 にて 崩れ けり
木蓮,天空 へ 白 木蓮 の 大 合唱
菜種梅雨,菜種梅雨 滲ん だ まま の 過去 も ある
菜の花,菜の花 駅 まで 切符 一 枚 ください な
沈丁花,沈丁花 隣 の 窓 に も 灯 が ともる
蟬,落蟬 や 眼 玉 も 羽根 も 蟻 まかせ
紫雲英,やさし さ の 数え きれ ない れんげ 畑
夏座敷,風の子 の 来 て は 出 て ゆく 夏座敷
青 鬼灯,派遣 切り 鉢 売り さ れる 青 鬼灯
カンナ,カンナ 燃 ゆ 本音 だけ で は 愛さ れ ない
夏 木立,神様 の おしゃべり こぼれる 夏 木立
蜩,蜩 や 女 を 生き て 七 十 年
紫陽花,紫陽花 は 散る こと も 許さ れ ない
落葉,掃き 寄せ られ 急 に 無口 に なる 落葉
名月,名月 が 宅配 便 で 届き けり
虫,虫 すだく 指揮 者 はるか に 北斗星
日向ぼこ,慕わ れ て 生き て ゆき た し 日向ぼこ
人 日,人 日 や 一 日 猫 を 可愛がる
日向ぼこ,陽 だ まり や 老 犬 薄目 あけ て おり
椿,仰向け も うつ伏せ も あり 椿 落つ
林檎,原罪 は りんご を 食べ し 喉仏
萱,萱 さむし 日本 国立 療養 所
五月雨,五月雨 や 死ん で いく に も 歯 を なおす
菜の花,菜の花 や 心 の 奥 の 原 風景
春 の 日,春日 差す 太 穂 の 墓域 無言 酒
春の 山,鼻眼鏡 ずらし て 見る や 春の 山
梅雨,裁判 の 一言 もらさ ぬ 梅雨 最中
更衣,しがらみ も 共に 脱ぎ た し 衣 更
竹 の 皮 脱ぐ,竹 の 皮 脱ぐ 青春 の 窓 開く
蟻,蟻 の 列 は や 定年 の 通勤 路
清水,一滴 の 源流 と なる 岩清水
水母,水母 来 て 泳ぐ 子ども 列 乱す
翡翠,翡翠 や 一直線 の わが 青春
夏 の 果,縦 笛 の 音 まとまり て 夏 終る
虫,虫 籠 の 開け放さ れ て 休暇 果 つ
空 蟬,ふた 心無き 証 なり 蟬 の 殻
草 矢,少年 の 夢 それぞれ の 草 矢 か な
羽 抜鳥,目 の 裏 に 今 なお 戦後 羽 抜鳥
榠樝 の 実,どれ も みな 愛嬌 あり し 榠樝 の 実
秋,いつ より か 秋 の 歩幅 に なり に けり
蕎麦 の 花,追憶 の ひとつひとつ や 蕎麦 の 花
爽やか,爽やか や 無位 無冠 なる 露天風呂
冬 近し,つまされる 話 に 無力 冬 近し
茸,喜び の 心 の 隙間 天狗 茸
立冬,冬 に 入る 平和 の まま の 火縄銃
冬 菜,冬 菜 売る 無口 の 媼 の 目 の やさし
大根,大根 の 世 に はむかう や 怒り肩
葉牡丹,葉牡丹 に 我が 煩悩 を 投げ入れ し
十二月,もらい泣き 多く なり し や 十二月
淑 気,それぞれ の 淑 気 を たぐる 太極拳
焚火,一 人 去り 二 人 去り ゆき 焚火 消す
初 句会,心 に は 紋付 袴 初句 会
烏賊 釣,烏賊 火 泣く 沖 に わが 墓 あり ぬ べし
西日,遠浅 の 子 を 消し あぐね たり 西日
夏 の 蝶,風 に 乗る め まひ の 消え ず 揚羽蝶
夏,海 恋 ひ の 家族 に 橋 を 伸ばす 夏
春,沖 浴び し 仏像 しばたく やう に 春
祭,祭 終り ぬい つ まで も 海 見る 子
名月,満月 や 森 ぞくぞく と 水 に 落つ
春一番,春一番 樹下 に まだ ゐる 待ちぼうけ
七月,海 を 張る 七月 いよいよ 飛ぶ か 象
喜 雨,雀 突き あ ふゆ つくり と 喜 雨 の 音
露,露 瞬く なか に 朝市 きりきり 舞 ひ
芹,芹 に 水 早し 一 揆譚 み づみづし
綿 虫,雪 虫 に は うばう かざし ゐる 友達
春,春 は 曙 そこ から 図書館 開く
角巻,角巻 の 羽 搏 きの その たび に 海
玉葱,玉葱 の 芯 に たま つて ゐる 正午
凩,凩 や 夜汽車 の 箱 を よせ あつめ
蕗の薹,蕗の薹 向い の 家 は 馬車 の 上
雨 乞,雨 乞 ひ の なほ も せつなき 藁半紙
寒し,さむざむ と 馬 を 横切る 地名 か な
花,教室 は しづか で 花 の 受粉 熱
盛夏,実景 に 錨 を 下ろす 真夏 か な
鳥 雲 に 入る,叱ら れ て 小鳥 と なり て 雲 に 入る
夏 の 海,まつ さき に さ う 言 つて ゐる 夏 の 海
鳥 曇,屋根裏 の 鳥 曇 なる 司祭 館
春 の 波,春 の 波 ときどき 日曜日 に 近く
蜻蛉,北 へ 行く 夕方 の 木々 鬼 やんま
コスモス,否定 から 己 はじまり 秋桜
冬,定年 という 止まり 木 も ある 冬 かもめ
春日,春日 だけ 乗せ て ゴンドラ 降り て くる
ぶらんこ,ぶらんこ や 故郷 遠く なり 近く なり
地吹雪,安楽 死 出来 ぬ 桜 が 地吹雪 す
豌豆,噂 消え て から も 豌豆 膨らみ ぬ
新緑,新緑 を ゆっくり 回す 太極拳
烏瓜,烏瓜 　 どの 蔓 引い たら 踊る やろ
雪,眠る 子 の 野鳥 図鑑 や 雪 降り おり
蝶,千 年 の 呪文 ほどけ て 蝶 の 羽化
花,墓石 に つき し 花びら 流さ ず 帰る
夏 祭,村 も 都会 も 等温 線 の 夏 祭り
鵙,郵便受け に も 差し込ん で ある 鵙 の 声
寒卵,寒 たま ご 　 掌 の 上 に 地球 の 重 さ
蜩,懐かし の 蜩 を 聴く 火焔 土器
秋,ここ から 秋 です 　 ローカル線 終点
霜夜,ひとすじ の 火縄 が 奔 る 霜夜 汽車
蝌蚪,混沌 が 次第に 蝌蚪 に なっ て ゆく
空 蟬,明け方 の 銀河 に 懸かる 蟬 の 殻
里神楽,よれよれ の 神 と 行き交う 里神楽
猫柳,蛇行 する 老いさき 愉し 猫柳
阿波 踊,手 の 先 に 憑 きもの が いる 阿波 踊り
蛇,昼 の 火事 蛇 ゆっくり と 衣 脱ぐ
向日葵,芯 まで 焦げ きっ て 向日葵 の 永い 黙祷
蟬,不 登校 児 の 開か ず の 窓 よ 蟬 しぐれ
蝶,初 蝶 を 追って 少年 毀れ けり
熟柿,てっぺん に 熟柿 の よう に 平和 が ある
雪,富士 稜線 たてがみ と なる 雪けむり
菜の花,花 菜 照り 瞼 は 音 を 立てる べし
炎天,くさ ま くらくら り と 炎天 うし ろ が ない
月,どんと 月夜 の カステイラ 立つ 皿 の 上
恋 猫,恋 猫 と 土竜 の 鼻 を 研究 する
蛇,花 過ぎ の 蛇 に お襁褓 を してやろ う
狐,檻 の 狐 は ぼく を 記念 の 顔 と 思う
芍薬,芍薬 の 枕 に 立つ は 苦労 なり
蒲公英,絮 吹け ば 五 十 万 年 飛び ます ねん
蟻,毛根 痛し 小走り に 蟻 すぎゆき
秋,秋 は 豆腐 を 握りつぶす こと に 反対 し て は なら ぬ
亀 の 子,亀 の 陣痛 から 竜巻 が 起る
立春,春 立ち ながら お 不動 さま に 水 かける
蜥蜴,蜥蜴 ふり向く 緑 ほとんど こ な みじん
紫陽花,紫陽花 を 剪 り 痛かっ た 昔 の 手
菜の花,菜の花 の どこ を くすぐっ たら 光る
秋,白秋 の 風 の 筋目 に 橋 を おく
春,男一匹 春 は 筆 圧 で 生きる
萩,萩 むら を ぬけ くる イワノフ の たんこぶ
朝顔,朝顔 大輪 臍 と 施毛 の 七曲り
炎天,含羞 に 尾 が あり 炎天 に 曝す
風邪,褌 の 困っ た 長 さ 風邪 心地
蟹,色即是空 毛蟹 の 肢 を 剪定 する
目高,目高 に も 学歴 が あり 賞罰 なし
立秋,立秋 の あちら 立てれ ば 非常口
紅葉,紅葉 天狗 の 七 十 六 日 目 の 噂
金魚,金魚 の 都合 で 白髪 一 本 ずつ 染める
蛙,雨 のち 俳句 蛙 の 百 会 に 灸 すえ て
蚊,叩い て も また 寄っ て くる 漢字 の 蚊
百 合,ベランダ の 百 合 に 眠気 の 容疑 あり
キャベツ,トンカツ に キャベツ 盛る べき 秘伝 あり
秋 蝶,秋 蝶 が 飛ぶ も 事件 の 一つ なり
空 蟬,蟬 がら が 爪立て て いる 無礼
花,悔やん で も 八 十 年 の 花 同じ
菜の花,菜の花 や 筑紫 次郎 に ほんのり 酒気
花見,花筵 九 十 年 の 土 ふま ず
冬 の 夕 焼,冬 夕 焼 木偶 の 笑 ひ を 残す 山
青田,嬰児 立ち 夕 月 あおい 田 の 仲間
祭,夜祭 は とおく かがやく 水溜まり
トマト,完熟 と ま と の 撃て ば 木端 みじん か な
畦 塗,畦 塗っ て 夜 は ギヤマン を ひとり占め
もの の 芽,発芽 待つ この 一山 の 暗 さ か な
田植,銃眼 や 老人 ばかり の 泛 く 棚田
星月夜,切株 や いくさ し て き た 星あかり
蟬,戦争 が 見え隠れ する 蟬 の 穴
蟹,沢蟹 と 岳父 仄 紅き 田 の 夕べ
熟柿,熟柿 落ち 阿鼻叫喚 に 形 あり
畦 塗,畦 を 塗り 岳父 は 夕日 の 尖る 石
空 蟬,兄 よ 空 蟬 みんな 淋しい 木 を 抱い て
月,金輪際 笑わ ぬ 月 の 旧家 か な
蟬,死ぬ まで の 戦後 木 に 蟬兄 は 兵
とろろ 汁,母系 と は 山 深い 谷 とろろ 汁
白鷺,白鷺 と 厳父 座礁 の 水田 か な
冷奴,風格 や この 山国 の 冷奴
根深 汁,大 家族 泯 ぶ 山家 の 根深 汁
終戦 記念 日,下手くそ な 蟬 が まだ 居る 敗戦 忌
終戦 記念 日,回送 電車 に 遮断 機 下りる 敗戦 日
木下 闇,青葉 闇 無我 と は 山 の 巌 か な
春の 山,真っ直ぐ な 木 から 数える 春の 山
煮 凝,煮凝り や 逝き て 岳父 の 戦後 果 つ
茄子,かんかん と 単 々 と 岳父 よ 曲がり 茄子
代 掻く,山奥 の 仄 と 声 満つ 田 水 か な
青き 踏む,青き 踏む 人間 無冠 の 力 か な
蚊帳,藻 の ごとき 蚊帳 吊れ ば 電 燈 昏れ に けり
アイス コーヒー,女 の 眼 が 通り 仰向け に 冷やし ミルク
紫雲英,げんげ 田 に 葬列 の 犬 が 糞 を し に
九月,九月 の 風 臍 あたらしく なり に けり
トマト,傘 の 中 娼婦 は 熱き トマト 食 ぶ
麦,麦 の 大地 に タクシー 丸く 出 て 夫婦 に さる
天の川,貰い 風呂 妻 に 乳 が 増し そう な 天の河
風花,病院 に 若し 勃 ち し のち 風花 す
神楽,神楽 火 や 電気 よわまる 村 の 笑い
大根 干す,大根 干す 枝 に 姑 の 出没 す
師走,鉛筆 に 師走 かがやき 処分 受 く
大根,大根 すっ て 鬚 濃 ゆく なる 敵 七 人
鰻,うなぎ 焼く 日 に 橋 わたる 絶景 か な
原爆 忌,亡き 母 が 塩 ふり に 来る 原爆 忌
冬至,男根 や 帰り なん いざ 冬至 汽車
寒卵,寒卵 手 に 電話 より 訃報 来る
葛餅,葛餅 の 喉 を 胎児 の すべり か な
蓮 の 花,蓮 咲かせ 仏 は 昼 も 色好み
雛祭,雛 様 が リスト カット す ジェンダーフリー
キャベツ,キャベツ 剥き 脳 に 似 て くる 憂 か な
虹,虹 消え て 蛋白 質 の われ 残る
茎 漬,太平洋 を 半畳 使い 漬菜 もむ
鳥 雲 に,原爆 の あやまち の 主語 鳥 雲 に
桃 の 花,九 十 路 の 母 産ま るる 音 し 桃 の 花
蝌蚪,カダフィー の 末 を 見 て を り は ぐれ 蝌蚪
花 八 手,タンカー に 糞 神 あり や 花 八つ手
月,レントゲン の よう に 月 出る 妻 る 留守
百 千鳥,野 糞 し て 此の世 美し 百 千鳥
曼珠沙華,心臓 は オートマティック 曼珠沙華
螇蚚,ばった 飛ぶ わが 醤油 眼 を よろこび て
春 キャベツ,あめ つ ちの 睦み し 重 さ 春 キャベツ
花冷え,花冷え や 通夜 に 乳房 は 要ら ぬ もの
風花,風花 や 言霊 に なる 今 言え ば
鵙,ブラジャー の 少し ずれ たる 鵙 の 鳴き
寒 釣,海底 が 俎板 に あり 寒 鰈
雲雀,出棺 や み たま と 遊ぶ 揚雲雀
花,蛇口 に は 無き 喉 ぼ とけ 花 の 昼
落花,是 が まあ 臨死 夢中 か 花吹雪
柿,高らか に 清貧 と 書き 柿 を 食う
石蕗 の 花,沖 船 に まだ 燈 の つか ぬ 石蕗 の 花
秋 の 灯,妻 の 留守 は 哲学 的 な 秋 灯
風花,肉 下げ て 橋 は ゆたか に 風花 す
はこべ,疎開 時 の はこべ 卵 の 叔父 の 骨
鶯,鶯 の 声 棒立ち に 千 暉 逝く
葱坊主,ほほ ひ げ は 男 の 仮面 葱坊主
な なか ま ど,うし ろ 髪 ひく は 魑魅 か な な かま ど
雪,雪 はげし 丑三つ 刻 の 辞書 あそび
蠅,蠅 も 吾 も 生きる 側 なり 深酒 す
蒸鰈,この ところ 父 の 夢み ず 蒸鰈
冷奴,ふえる 書 に 妻 の 不 機嫌 冷奴
毛布,膝 掛 を つくね て あり ぬ 轆轤台
立冬,冬 に 入る 伐 折 羅 は 赤き 息 吐け り
水鳥,水鳥 の 真中 へ ず ず と 遠眼鏡
冬 の 川,ボクサー の 空 打ち つ 来る 冬 の 沼
桜,わが まち の 水 旨き 日 や さくら 咲く
鳥 交 る,鳥 交 る はらりと 辞書 の 正誤 表
ハイビスカス,ゴーギャン の 女 大足 仏 桑 花
木の葉 髪,生き方 に シナリオ の なし 木の葉 髪
残暑,大津絵 の 人参 色 や 秋 暑し
盂蘭盆会,盆 唄 や 背 に くろぐろ と 烽火山
稲 の 花,自転車 の サドル の 高 し 稲 の 花
みせ ば や,みせ ば やや 吾子 に 見え きし 怺 へ 性
衣 被,東京 に 何 の 負 ひ 目 ぞ 衣 被
風 の 盆,道端 の 椅子 ひとつ 空き 風 の 盆
冷やか,魂 集 ふか に 一 の 倉沢 冷 ゆる なり
蕎麦 の 花,村 興し さし て 効 なし 蕎麦 の 花
薪能,怨霊 に ひたと 影 寄る 薪能
夏座敷,赤ん坊 を ころがし て ある 夏座敷
雀 の 子,遺品 なる 大言 海 や 雀 の 子
桜,古代 史 の どこ か 小暗し さくら 咲く
蕗,二 人 し て 蕗 の 筋 とる 二 人 分
喜 雨,常念岳 お ろ が む 村 の 喜 雨 休
夏期 講習 会,夏期 講座 ヒマラヤ杉 に 集合 す
名月,名月 や 沈め し まま の 皿 小鉢
雛祭,雛壇 の うし ろ が 見え て 海女 の 家
菜の花 忌,一夜 にて 月 の 太り ぬ 菜の花 忌
蜩  ,かな か な や 全て 消滅 し なかっ た
凩,目覚める か 無 告 の 民 よ 凩 よ
枯野,自由 だ と 紳士 が 殴る 枯野 か な
ストーブ,ストーブ を 囲み 人間 の カタストロフィー
いぼ むしり,いぼ むしり やがて 宇宙 を 作り た がる
冬日,ヘリュウム の 質量 大きく なる 冬日
炭,人間 も 宇宙 も 進化 炭 を つぐ
蒲公英,たんぽぽ よ 神 が 忘れ た もの ない か
花,完全 に 人間 で ある 花 遊び
春 隣り,人 の 息 仏 の 息 や 春 隣り
水 馬,現実 化 さ れ つつ 滅ぶ あめんぼ う
夏野,人間 が 覚悟 を 決め て いる 夏野
湯 婆,勿体な や 湯 婆 の お湯 に 火傷 する
冬,大 往生 冬 の 蘇鉄 の 青々 と
みどりの日,街なか に 古墳 が いくつ か みどりの日
翡翠,翡翠 を 見 き 村人 に 黙秘 せ む
七月,水風呂 に そろ り 七 月来 たり けり
吾亦紅,ひとり のみ 言う こと ちがう 吾亦紅
桐 の 実,桐 実る 峡 に 残り し 五 戸 九 人
山 笑う,木魚 打つ 一節 ごと に 山 笑う
冷 まじ,獅子舞 の 裾 の 摺り 切れ 冷 まじき
栗,雲 湧い て 相模 の 栗 を 育て けり
雪 解,雪 解け て 狼森 の 顕れる
雁 帰る,雁 帰る 半端 な 数 の 二 十 九 羽
溝 浚え,溝 浚い し て 大川 に 至り けり
海鞘,海鞘 を 食う 禿頭 の 顎 よく 動く
台風,台風 過 仁王 の 視線 やわらかし
柘榴,口開け て 柘榴 は まっ 赤 師 は 逝け り
秋 の 水,花 頭 窓 隔て て 秋 の 水落 つる
冬木,まっすぐ に 冬木 一 本 歯 を 抜かる
雪,雪 しんしん 銀髪 美しき 人 を 焼く
夏 の 雨,シャガール を 見 し 目 を 洗う 緑 雨 か な
水 飯,水 飯 を 掻き込む 自由 吾 に あり
良夜,たらちね の 襁褓 を 替える 良夜 か な
霧,霧 の 街 修司 の 母 の ぬっと 来る
雪,呪う ほど 美しく 雪 降っ て いる
やま せ,やま せ 吹く い ずく へ 消え し 僧 一家
